Handle,Title,Body (HTML),Vendor,Product Category,Image Src,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
gafas-de-realidad-virtual-de-alta-resolucion,Gafas de Realidad Virtual de Alta Resolución,Experimenta la realidad virtual como nunca antes con nuestras gafas de alta resolución. Sumérgete en mundos virtuales con detalles impresionantes y una claridad visual sorprendente.,Future World,,https://i.imgur.com/pRPPiS4.jpg,,Realidad aumentada y realidad virtual,TRUE,Title,,,,,,,,,10,deny,manual,25,,TRUE,TRUE,,,,,,Experimenta la realidad virtual como nunca antes con nuestras gafas de alta resolución. Sumérgete en mundos virtuales con detalles impresionantes y una claridad visual sorprendente.,,,,,,,,,,,,,,,,,,,,active
gafas-para-deteccion-de-riesgos-naturales,Gafas para Detección de Riesgos Naturales,"Mantente seguro en la naturaleza con nuestras gafas especializadas para la detección de riesgos naturales. Estas gafas te brindan información en tiempo real sobre peligros como incendios forestales, tormentas y terremotos.",Future World,,https://i.imgur.com/O4AOc7s.jpg,,Realidad aumentada y realidad virtual,TRUE,Title,,,,,,,,,10,deny,manual,19.99,24.99,TRUE,TRUE,,,,,,"Mantente seguro en la naturaleza con nuestras gafas especializadas para la detección de riesgos naturales. Estas gafas te brindan información en tiempo real sobre peligros como incendios forestales, tormentas y terremotos.",,,,,,,,,,,,,,,,,,,,active
guantes-de-realidad-virtual,Guantes de Realidad Virtual,Convierte tus manos en controladores precisos en el mundo virtual con nuestros guantes de realidad virtual. Siente y manipula objetos digitales con una precisión excepcional.,Future World,,https://i.imgur.com/FfjoQ9g.jpg,,Realidad aumentada y realidad virtual,TRUE,Title,,,,,,,,,10,deny,manual,19.99,24.99,TRUE,TRUE,,,,,,Convierte tus manos en controladores precisos en el mundo virtual con nuestros guantes de realidad virtual. Siente y manipula objetos digitales con una precisión excepcional.,,,,,,,,,,,,,,,,,,,,active
traje-hayabusa-gamer-para-realidad-virtual,Traje Hayabusa Gamer para Realidad Virtual,Experimenta la verdadera inmersión en juegos con el traje Hayabusa para realidad virtual. Este traje proporciona retroalimentación táctil y una experiencia de juego de otro nivel.,Future World,,https://i.imgur.com/gi7oY89.jpg,,Realidad aumentada y realidad virtual,TRUE,Title,,,,,,,,,10,deny,manual,49.99,57.99,TRUE,TRUE,,,,,,Experimenta la verdadera inmersión en juegos con el traje Hayabusa para realidad virtual. Este traje proporciona retroalimentación táctil y una experiencia de juego de otro nivel.,,,,,,,,,,,,,,,,,,,,active
kit-de-vuelo-con-realidad-virtual,Kit de Vuelo con Realidad Virtual,Domina los cielos con nuestro kit de vuelo de realidad virtual. Pilotea aviones y drones con precisión y realismo asombroso.,Future World,,https://i.imgur.com/6NS4fG1.jpg,,Realidad aumentada y realidad virtual,TRUE,Title,,,,,,,,,10,deny,manual,17.99,22.99,TRUE,TRUE,,,,,,Domina los cielos con nuestro kit de vuelo de realidad virtual. Pilotea aviones y drones con precisión y realismo asombroso.,,,,,,,,,,,,,,,,,,,,active
luces-ambientales-de-entorno-variable,Luces Ambientales de Entorno Variable,Crea un ambiente único en tu hogar con nuestras luces ambientales. Cambia el entorno a tu gusto con una variedad de colores y efectos de iluminación.,Future World,,https://i.imgur.com/5It5n7p.jpg,,Domótica Inteligente,TRUE,Title,,,,,,,,,10,deny,manual,31.38,,TRUE,TRUE,,,,,,Crea un ambiente único en tu hogar con nuestras luces ambientales. Cambia el entorno a tu gusto con una variedad de colores y efectos de iluminación.,,,,,,,,,,,,,,,,,,,,active
kolibri-asistente-volador-personal,Kolibri: Asistente Volador Personal,El Kolibri es tu asistente volador personal. Este pequeño dron inteligente te sigue a donde vayas y te ayuda a capturar momentos impresionantes desde el aire.,Future World,,https://i.imgur.com/gJgvlLX.jpg,,Domótica Inteligente,TRUE,Title,,,,,,,,,10,deny,manual,32.98,39.49,TRUE,TRUE,,,,,,El Kolibri es tu asistente volador personal. Este pequeño dron inteligente te sigue a donde vayas y te ayuda a capturar momentos impresionantes desde el aire.,,,,,,,,,,,,,,,,,,,,active
robot-aspirador-autonomo,Robot Aspirador Autónomo,"Mantén tu hogar impecable sin esfuerzo con nuestro robot aspirador autónomo. Se mueve de forma inteligente, aspirando el polvo y la suciedad en cada rincón.",Future World,,https://i.imgur.com/LAiD8V9.jpg,,Domótica Inteligente,TRUE,Title,,,,,,,,,10,deny,manual,34.58,42.19,TRUE,TRUE,,,,,,"Mantén tu hogar impecable sin esfuerzo con nuestro robot aspirador autónomo. Se mueve de forma inteligente, aspirando el polvo y la suciedad en cada rincón.",,,,,,,,,,,,,,,,,,,,active
automovil-electrico-de-nucleo-unico,Automóvil Eléctrico de Núcleo Único,El futuro de la movilidad ha llegado con nuestro automóvil eléctrico de núcleo único. Rendimiento impresionante y cero emisiones.,Future World,,https://i.imgur.com/7CNYas7.jpg,,Movilidad Eléctrica y Vehículos Autónomos,TRUE,Title,,,,,,,,,10,deny,manual,36.18,44.89,TRUE,TRUE,,,,,,El futuro de la movilidad ha llegado con nuestro automóvil eléctrico de núcleo único. Rendimiento impresionante y cero emisiones.,,,,,,,,,,,,,,,,,,,,active
coche-volador-electrico-vtol,Coche Volador Eléctrico VTOL,Despega y aterriza en cualquier lugar con nuestro coche volador eléctrico VTOL. Convierte tus desplazamientos en una experiencia aérea.,Future World,,https://i.imgur.com/jqppvYA.jpg,,Movilidad Eléctrica y Vehículos Autónomos,TRUE,Title,,,,,,,,,10,deny,manual,37.77,47.59,TRUE,TRUE,,,,,,Despega y aterriza en cualquier lugar con nuestro coche volador eléctrico VTOL. Convierte tus desplazamientos en una experiencia aérea.,,,,,,,,,,,,,,,,,,,,active
